company,ds,yhat
0,2019-10-11,348.8591769790256
0,2019-10-12,287.4347156265313
0,2019-10-13,289.58871904592684
0,2019-10-14,323.25112243119827
0,2019-10-15,281.75642312067134
0,2019-10-16,296.0316948938133
0,2019-10-17,285.42533228330194
0,2019-10-18,327.7481711023767
0,2019-10-19,267.4336212070075
0,2019-10-20,270.977422009752
0,2019-10-21,306.23941557294796
0,2019-10-22,266.47925445256203
0,2019-10-23,282.5467265072008
0,2019-10-24,273.7128794909064
0,2019-10-25,317.71352329920063
0,2019-10-26,258.9116771985309
0,2019-10-27,263.73950546656624
0,2019-10-28,300.0020726918515
0,2019-10-29,260.9147776714497
0,2019-10-30,277.29509690768475
0,2019-10-31,268.394777849937
0,2019-11-01,311.9440268498813
0,2019-11-02,252.31423705223605
0,2019-11-03,255.95978900418646
